Uniprot ID,Gene-name,Lung,,,Spleen (White pulp),,,Liver,,,Heart,,, Renal cortex,,,Renal medulla,,,Testis,,,Thyroid,,
A0A0J9YXX1,IGHV5-10-1,,,,,,,1.3962 ,0.0057 ,0.0253 ,,,,1.4865 ,0.0001 ,0.0011 ,,,,,,,,,
A0AV96,RBM47,0.6091 ,0.0000 ,0.0003 ,0.4775 ,0.0005 ,0.0051 ,,,,,,,,,,,,,,,,,,
A0AVT1,UBA6,,,,-0.4138 ,0.0046 ,0.0246 ,,,,,,,,,,,,,,,,,,
A0FGR8,ESYT2,,,,,,,,,,,,,0.2769 ,0.0022 ,0.0144 ,,,,,,,,,
A0JNW5,UHRF1BP1L,0.4357 ,0.0034 ,0.0230 ,,,,,,,,,,,,,,,,,,,,,
A0MZ66,SHTN1,,,,-0.4401 ,0.0003 ,0.0034 ,,,,,,,,,,,,,,,,,,
A0PJW6,TMEM223,,,,,,,0.3973 ,0.0057 ,0.0253 ,0.4347 ,0.0021 ,0.0129 ,,,,,,,,,,,,
A0PK05,TMEM72,,,,,,,,,,,,,-0.5141 ,0.0018 ,0.0122 ,,,,,,,,,
A1KZ92,PXDNL,,,,,,,,,,-0.6987 ,0.0000 ,0.0006 ,,,,,,,,,,,,
A1L0T0,ILVBL,,,,0.3028 ,0.0047 ,0.0247 ,,,,,,,,,,,,,,,,,,
A1X283,SH3PXD2B,0.8008 ,0.0000 ,0.0000 ,0.9785 ,0.0010 ,0.0083 ,0.3549 ,0.0010 ,0.0068 ,,,,,,,,,,,,,,,
A2A3N6,PIPSL,,,,,,,,,,,,,,,,,,,,,,0.8126 ,0.0006 ,0.0082 
A2NJV5,IGKV2-29,,,,,,,0.6829 ,0.0081 ,0.0332 ,,,,,,,,,,,,,,,
A2RRP1,NBAS,,,,,,,0.3405 ,0.0046 ,0.0216 ,,,,,,,,,,,,,,,
A2RUC4,TYW5,,,,,,,,,,,,,-0.4036 ,0.0000 ,0.0008 ,,,,,,,,,
A2RUS2,DENND3,,,,,,,,,,,,,0.4983 ,0.0002 ,0.0023 ,0.4584 ,0.0004 ,0.0157 ,,,,,,
A2VDF0,FUOM,,,,,,,-1.2619 ,0.0042 ,0.0203 ,,,,-0.6803 ,0.0000 ,0.0000 ,-0.6107 ,0.0007 ,0.0226 ,,,,,,
A3KMH1,VWA8,0.2951 ,0.0009 ,0.0094 ,,,,,,,,,,-0.5116 ,0.0000 ,0.0007 ,,,,,,,,,
A3KN83,SBNO1,,,,,,,0.4717 ,0.0023 ,0.0128 ,,,,,,,,,,,,,,,
A4D126,CRPPA,,,,,,,,,,,,,-0.3828 ,0.0007 ,0.0059 ,-0.4570 ,0.0001 ,0.0051 ,,,,,,
A4D1E9,GTPBP10,,,,0.8418 ,0.0004 ,0.0042 ,0.3873 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
A4D1P6,WDR91,,,,,,,-0.3374 ,0.0099 ,0.0387 ,,,,,,,,,,,,,,,
A4FU01,MTMR11,,,,,,,,,,,,,-0.4852 ,0.0006 ,0.0053 ,,,,,,,,,
A5PLN9,TRAPPC13,,,,,,,,,,,,,,,,,,,,,,0.3986 ,0.0028 ,0.0220 
A6NC98,CCDC88B,,,,,,,,,,,,,,,,-1.1517 ,0.0024 ,0.0407 ,,,,,,
A6ND36,FAM83G,,,,,,,0.5636 ,0.0026 ,0.0138 ,,,,,,,,,,,,,,,
A6ND91,ASPDH,,,,,,,-0.7182 ,0.0000 ,0.0006 ,,,,-0.7096 ,0.0000 ,0.0000 ,,,,,,,,,
A6NDB9,PALM3,,,,,,,0.2792 ,0.0039 ,0.0192 ,,,,,,,,,,,,,,,
A6NDG6,PGP,,,,-0.8067 ,0.0000 ,0.0001 ,,,,-0.3646 ,0.0001 ,0.0013 ,,,,,,,,,,,,
A6NDU8,C5orf51,,,,,,,,,,-0.7372 ,0.0000 ,0.0005 ,,,,,,,,,,-0.3806 ,0.0016 ,0.0155 
A6NFQ2,TCAF2,,,,,,,1.2040 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
A6NFY7,SDHAF1,,,,,,,,,,,,,-0.4411 ,0.0000 ,0.0009 ,,,,,,,,,
A6NGB9,WIPF3,,,,,,,0.9362 ,0.0110 ,0.0420 ,,,,,,,,,,,,,,,
A6NGU5,GGT3P,,,,,,,,,,,,,-0.5741 ,0.0104 ,0.0465 ,,,,,,,,,
A6NH11,GLTPD2,,,,,,,,,,,,,-0.6695 ,0.0003 ,0.0029 ,,,,,,,,,
A6NHR9,SMCHD1,,,,,,,,,,-0.4303 ,0.0000 ,0.0004 ,,,,,,,,,,,,
A6NI28,ARHGAP42,-0.4974 ,0.0003 ,0.0037 ,,,,,,,,,,,,,,,,,,,,,
A6NI73,LILRA5,,,,1.1727 ,0.0077 ,0.0352 ,,,,,,,,,,,,,,,,,,
A6NK44,GLOD5,,,,,,,,,,,,,-0.4979 ,0.0011 ,0.0084 ,,,,,,,,,
A6NK58,LIPT2,,,,,,,,,,,,,-0.3098 ,0.0031 ,0.0183 ,,,,,,,,,
A7E2V4,ZSWIM8,,,,,,,0.3569 ,0.0014 ,0.0083 ,,,,,,,,,,,,,,,
A8K855,EFCAB7,,,,,,,,,,,,,,,,,,,,,,0.7924 ,0.0003 ,0.0064 
A8K8P3,SFI1,,,,,,,,,,,,,0.4916 ,0.0114 ,0.0497 ,,,,,,,,,
A8MSI8,LYRM9,0.4880 ,0.0015 ,0.0128 ,0.6394 ,0.0044 ,0.0238 ,0.7623 ,0.0001 ,0.0010 ,0.2986 ,0.0033 ,0.0176 ,,,,,,,,,,,,
B0YJ81,HACD1,,,,,,,,,,0.9768 ,0.0000 ,0.0003 ,,,,,,,,,,,,
B1AK53,ESPN,,,,,,,-0.8096 ,0.0105 ,0.0402 ,,,,,,,,,,,,,,,
B3EWG6,FAM25G,,,,,,,,,,,,,0.2713 ,0.0096 ,0.0439 ,,,,,,,,,
B3KU38,IQCJ-SCHIP1,0.6768 ,0.0077 ,0.0407 ,,,,,,,0.3901 ,0.0004 ,0.0039 ,,,,,,,,,,,,
B4DXR9,ZNF732,1.8324 ,0.0003 ,0.0035 ,,,,,,,,,,,,,,,,,,,,,
C9JLW8,MCRIP1,,,,,,,0.4094 ,0.0052 ,0.0237 ,,,,,,,,,,,,,,,
D6RIA3,C4orf54,,,,,,,,,,1.2631 ,0.0128 ,0.0485 ,,,,,,,,,,,,
E7EW31,PROB1,,,,,,,,,,0.4119 ,0.0000 ,0.0003 ,,,,,,,,,,,,
E9PAV3,NACA,0.8017 ,0.0036 ,0.0239 ,,,,,,,,,,,,,,,,,,,,,
E9PRG8,C11orf98,,,,,,,,,,,,,,,,,,,,,,0.4168 ,0.0011 ,0.0122 
L0R6Q1,SLC35A4,,,,,,,0.3550 ,0.0104 ,0.0402 ,0.2874 ,0.0004 ,0.0038 ,0.5856 ,0.0000 ,0.0003 ,0.7459 ,0.0007 ,0.0225 ,,,,,,
O00115,DNASE2,1.1059 ,0.0068 ,0.0375 ,,,,,,,0.4307 ,0.0075 ,0.0327 ,-0.6574 ,0.0048 ,0.0265 ,,,,,,,,,
O00116,AGPS,0.5399 ,0.0001 ,0.0018 ,0.5157 ,0.0000 ,0.0007 ,,,,,,,,,,,,,,,,0.3474 ,0.0008 ,0.0099 
O00139,KIF2A,,,,,,,,,,,,,0.3596 ,0.0011 ,0.0088 ,,,,,,,0.3719 ,0.0007 ,0.0095 
O00148,DDX39A,0.5690 ,0.0039 ,0.0253 ,,,,,,,,,,0.3288 ,0.0101 ,0.0454 ,,,,,,,,,
O00151,PDLIM1,,,,0.3630 ,0.0015 ,0.0110 ,,,,,,,,,,,,,,,,,,
O00154,ACOT7,,,,,,,,,,,,,-0.6188 ,0.0007 ,0.0062 ,,,,,,,,,
O00159,MYO1C,,,,0.2827 ,0.0014 ,0.0102 ,,,,,,,,,,,,,,,,0.3870 ,0.0041 ,0.0278 
O00165,HAX1,,,,,,,,,,,,,,,,0.5061 ,0.0000 ,0.0022 ,,,,,,
O00168,FXYD1,,,,,,,,,,0.8513 ,0.0000 ,0.0003 ,,,,,,,,,,,,
O00182,LGALS9,,,,0.7861 ,0.0000 ,0.0007 ,,,,,,,0.4293 ,0.0064 ,0.0328 ,,,,,,,,,
O00186,STXBP3,,,,,,,0.4364 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
O00187,MASP2,,,,,,,,,,,,,0.7415 ,0.0006 ,0.0054 ,,,,,,,,,
O00189,AP4M1,,,,,,,,,,,,,0.2678 ,0.0003 ,0.0031 ,,,,,,,,,
O00192,ARVCF,,,,,,,,,,,,,,,,-0.4178 ,0.0028 ,0.0444 ,,,,,,
O00203,AP3B1,,,,,,,0.5764 ,0.0000 ,0.0004 ,,,,,,,,,,,,,0.3008 ,0.0005 ,0.0081 
O00213,APBB1,0.4581 ,0.0067 ,0.0370 ,1.0720 ,0.0089 ,0.0392 ,,,,,,,,,,,,,,,,,,
O00214,LGALS8,,,,,,,0.3095 ,0.0019 ,0.0108 ,,,,,,,,,,,,,,,
O00217,NDUFS8,,,,0.5727 ,0.0000 ,0.0004 ,0.3814 ,0.0001 ,0.0010 ,,,,,,,0.9232 ,0.0000 ,0.0042 ,,,,0.4885 ,0.0001 ,0.0034 
O00232,PSMD12,,,,,,,0.2710 ,0.0000 ,0.0001 ,,,,,,,,,,,,,,,
O00233,PSMD9,,,,-0.3342 ,0.0108 ,0.0448 ,,,,,,,,,,,,,,,,,,
O00244,ATOX1,,,,-0.8934 ,0.0002 ,0.0024 ,,,,,,,-1.1224 ,0.0002 ,0.0025 ,,,,,,,-1.3134 ,0.0023 ,0.0194 
O00258,GET1,,,,,,,,,,,,,0.4856 ,0.0013 ,0.0097 ,,,,,,,,,
O00264,PGRMC1,0.5499 ,0.0000 ,0.0009 ,0.4160 ,0.0003 ,0.0036 ,-0.3661 ,0.0136 ,0.0492 ,,,,-0.2823 ,0.0003 ,0.0036 ,,,,,,,,,
O00291,HIP1,,,,0.2805 ,0.0099 ,0.0422 ,,,,,,,,,,,,,,,,,,
O00299,CLIC1,,,,-0.4838 ,0.0001 ,0.0011 ,,,,-0.3804 ,0.0002 ,0.0019 ,,,,,,,,,,,,
O00308,WWP2,,,,,,,,,,,,,,,,,,,,,,0.5782 ,0.0061 ,0.0362 
O00330,PDHX,,,,,,,0.2842 ,0.0066 ,0.0283 ,,,,,,,,,,,,,,,
O00339,MATN2,-0.7298 ,0.0006 ,0.0069 ,-0.3569 ,0.0025 ,0.0158 ,,,,-0.5399 ,0.0002 ,0.0021 ,,,,-0.8903 ,0.0000 ,0.0023 ,,,,,,
O00391,QSOX1,,,,,,,,,,,,,,,,,,,,,,1.2201 ,0.0025 ,0.0207 
O00400,SLC33A1,,,,0.5628 ,0.0050 ,0.0261 ,,,,,,,,,,,,,,,,,,
O00401,WASL,,,,0.3209 ,0.0010 ,0.0083 ,,,,,,,,,,,,,,,,,,
O00408,PDE2A,,,,,,,,,,0.5625 ,0.0005 ,0.0042 ,,,,,,,,,,,,
O00411,POLRMT,,,,,,,,,,0.3950 ,0.0024 ,0.0142 ,,,,,,,,,,,,
O00418,EEF2K,-0.4185 ,0.0016 ,0.0135 ,,,,-0.7776 ,0.0000 ,0.0002 ,,,,-0.3122 ,0.0079 ,0.0383 ,,,,,,,,,
O00422,SAP18,0.7974 ,0.0000 ,0.0003 ,0.4764 ,0.0011 ,0.0088 ,0.4982 ,0.0018 ,0.0107 ,,,,,,,0.5856 ,0.0011 ,0.0260 ,,,,0.3942 ,0.0017 ,0.0159 
O00429,DNM1L,,,,,,,0.2913 ,0.0004 ,0.0031 ,,,,,,,,,,,,,,,
O00443,PIK3C2A,,,,0.3139 ,0.0021 ,0.0142 ,,,,,,,0.3289 ,0.0004 ,0.0045 ,,,,,,,0.8144 ,0.0000 ,0.0007 
O00459,PIK3R2,-0.7144 ,0.0046 ,0.0285 ,,,,,,,,,,,,,,,,,,,,,
O00461,GOLIM4,0.3961 ,0.0039 ,0.0250 ,0.5008 ,0.0000 ,0.0001 ,0.6403 ,0.0000 ,0.0000 ,,,,,,,0.3502 ,0.0001 ,0.0060 ,,,,,,
O00462,MANBA,,,,,,,0.3591 ,0.0050 ,0.0231 ,,,,-0.4380 ,0.0000 ,0.0002 ,,,,,,,,,
O00469,PLOD2,0.9307 ,0.0001 ,0.0013 ,,,,0.9164 ,0.0021 ,0.0117 ,,,,,,,0.7415 ,0.0031 ,0.0461 ,,,,,,
O00479,HMGN4,-0.6226 ,0.0015 ,0.0127 ,,,,,,,-0.4455 ,0.0102 ,0.0411 ,,,,,,,,,,,,
O00481,BTN3A1,-0.3757 ,0.0082 ,0.0425 ,,,,,,,,,,,,,,,,,,,,,
O00483,NDUFA4,0.8177 ,0.0003 ,0.0040 ,0.6621 ,0.0006 ,0.0055 ,,,,0.5013 ,0.0000 ,0.0000 ,0.6469 ,0.0018 ,0.0124 ,,,,,,,,,
O00487,PSMD14,,,,,,,,,,,,,,,,,,,,,,0.3154 ,0.0026 ,0.0210 
O00488,ZNF593,1.0344 ,0.0005 ,0.0054 ,,,,,,,,,,,,,,,,,,,,,
O00499,BIN1,,,,,,,-0.3986 ,0.0006 ,0.0044 ,,,,,,,,,,,,,,,
O00505,KPNA3,,,,,,,0.3599 ,0.0000 ,0.0002 ,,,,0.2760 ,0.0006 ,0.0055 ,,,,,,,,,
O00506,STK25,,,,,,,,,,,,,,,,0.3952 ,0.0009 ,0.0242 ,,,,,,
O00515,LAD1,0.5355 ,0.0069 ,0.0378 ,,,,,,,,,,,,,,,,,,,,,
O00533,CHL1,,,,,,,-0.8325 ,0.0008 ,0.0056 ,,,,-0.5993 ,0.0002 ,0.0024 ,,,,,,,,,
O00541,PES1,0.4937 ,0.0004 ,0.0050 ,0.4139 ,0.0095 ,0.0408 ,0.4894 ,0.0000 ,0.0001 ,,,,0.3488 ,0.0073 ,0.0361 ,0.3809 ,0.0003 ,0.0138 ,,,,0.5518 ,0.0000 ,0.0001 
O00559,EBAG9,,,,0.4876 ,0.0008 ,0.0071 ,,,,,,,,,,,,,,,,,,
O00560,SDCBP,,,,,,,0.2924 ,0.0003 ,0.0026 ,,,,,,,,,,,,,,,
O00562,PITPNM1,,,,,,,,,,,,,0.4482 ,0.0000 ,0.0003 ,,,,,,,,,
O00566,MPHOSPH10,,,,0.3147 ,0.0088 ,0.0387 ,0.7120 ,0.0001 ,0.0009 ,,,,0.3260 ,0.0010 ,0.0080 ,0.5289 ,0.0008 ,0.0231 ,,,,,,
O00567,NOP56,,,,,,,,,,,,,,,,,,,,,,0.3331 ,0.0022 ,0.0193 
O00571,DDX3X,0.4918 ,0.0001 ,0.0021 ,0.5555 ,0.0000 ,0.0007 ,0.7020 ,0.0000 ,0.0000 ,,,,0.4419 ,0.0000 ,0.0000 ,0.3598 ,0.0029 ,0.0444 ,,,,0.3602 ,0.0005 ,0.0079 
O00584,RNASET2,,,,-0.5152 ,0.0020 ,0.0136 ,,,,,,,-1.6649 ,0.0001 ,0.0016 ,,,,,,,,,
O00592,PODXL,,,,0.6342 ,0.0004 ,0.0046 ,,,,0.3686 ,0.0000 ,0.0003 ,,,,,,,,,,0.7149 ,0.0006 ,0.0089 
O00622,CCN1,0.9954 ,0.0005 ,0.0061 ,,,,,,,,,,,,,,,,,,,,,
O00624,SLC17A2,,,,,,,0.3470 ,0.0087 ,0.0352 ,,,,,,,,,,,,,,,
O00625,PIR,,,,,,,0.5463 ,0.0001 ,0.0014 ,0.2767 ,0.0077 ,0.0334 ,0.4632 ,0.0014 ,0.0101 ,,,,,,,,,
O00628,PEX7,,,,,,,,,,,,,-0.4215 ,0.0006 ,0.0056 ,,,,,,,,,
O00629,KPNA4,,,,,,,,,,,,,,,,0.3819 ,0.0006 ,0.0197 ,,,,,,
O00743,PPP6C,,,,,,,,,,,,,,,,,,,,,,0.3042 ,0.0045 ,0.0301 
O00748,CES2,,,,,,,,,,0.4068 ,0.0001 ,0.0016 ,-0.3926 ,0.0006 ,0.0055 ,,,,,,,,,
O00754,MAN2B1,,,,,,,,,,,,,-0.5485 ,0.0017 ,0.0117 ,,,,,,,,,
O00757,FBP2,,,,,,,,,,,,,-1.1456 ,0.0005 ,0.0048 ,,,,,,,,,
O00763,ACACB,,,,,,,,,,0.3095 ,0.0027 ,0.0155 ,,,,,,,,,,,,
O00764,PDXK,,,,-0.6079 ,0.0001 ,0.0014 ,-0.4650 ,0.0016 ,0.0093 ,,,,-0.4850 ,0.0000 ,0.0004 ,,,,,,,,,
O00767,SCD,1.1459 ,0.0008 ,0.0087 ,,,,,,,,,,,,,,,,,,,,,
O14492,SH2B2,,,,0.6803 ,0.0054 ,0.0273 ,,,,,,,,,,,,,,,,,,
O14495,PLPP3,,,,0.7437 ,0.0028 ,0.0172 ,,,,,,,0.3404 ,0.0020 ,0.0133 ,0.5551 ,0.0014 ,0.0306 ,,,,,,
O14498,ISLR,,,,-0.5392 ,0.0001 ,0.0011 ,,,,,,,-0.4308 ,0.0001 ,0.0017 ,,,,,,,,,
O14519,CDK2AP1,,,,-0.5394 ,0.0085 ,0.0377 ,,,,,,,,,,,,,,,,,,
O14524,NEMP1,-0.4446 ,0.0003 ,0.0039 ,,,,,,,,,,,,,,,,,,,,,
O14526,FCHO1,,,,-0.8195 ,0.0071 ,0.0331 ,,,,,,,,,,,,,,,,,,
O14530,TXNDC9,,,,,,,0.2750 ,0.0026 ,0.0141 ,,,,0.4104 ,0.0103 ,0.0463 ,,,,,,,,,
O14531,DPYSL4,-0.8344 ,0.0021 ,0.0167 ,,,,,,,,,,,,,,,,,,,,,
O14545,TRAFD1,,,,,,,0.3410 ,0.0001 ,0.0009 ,,,,0.4339 ,0.0000 ,0.0008 ,,,,,,,,,
O14548,COX7A2L,,,,0.4745 ,0.0010 ,0.0080 ,,,,,,,,,,,,,,,,,,
O14558,HSPB6,,,,,,,,,,0.2732 ,0.0019 ,0.0121 ,,,,,,,,,,,,
O14561,NDUFAB1,1.1015 ,0.0004 ,0.0045 ,,,,,,,,,,,,,,,,,,,,,
O14562,UBFD1,,,,,,,,,,,,,-0.2783 ,0.0035 ,0.0205 ,,,,,,,,,
O14578,CIT,,,,,,,0.4239 ,0.0039 ,0.0192 ,,,,,,,,,,,,,,,
O14579,COPE,,,,,,,0.3474 ,0.0065 ,0.0282 ,,,,,,,,,,,,,,,
O14617,AP3D1,,,,0.3627 ,0.0021 ,0.0141 ,0.4203 ,0.0000 ,0.0003 ,,,,,,,,,,,,,,,
O14618,CCS,,,,-0.8875 ,0.0001 ,0.0012 ,,,,,,,-0.4070 ,0.0056 ,0.0296 ,,,,,,,-0.7308 ,0.0001 ,0.0022 
O14639,ABLIM1,,,,,,,0.7671 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
O14646,CHD1,0.5059 ,0.0008 ,0.0085 ,,,,,,,,,,,,,,,,,,,,,
O14647,CHD2,,,,,,,,,,,,,0.2705 ,0.0006 ,0.0055 ,,,,,,,,,
O14653,GOSR2,,,,0.3029 ,0.0018 ,0.0125 ,,,,,,,,,,0.3075 ,0.0030 ,0.0456 ,,,,,,
O14656,TOR1A,,,,,,,0.5064 ,0.0009 ,0.0060 ,,,,,,,,,,,,,,,
O14657,TOR1B,,,,,,,,,,,,,,,,,,,,,,0.7445 ,0.0000 ,0.0002 
O14662,STX16,0.5915 ,0.0019 ,0.0154 ,,,,,,,,,,,,,,,,,,,,,
O14713,ITGB1BP1,-0.6726 ,0.0000 ,0.0006 ,,,,,,,,,,,,,,,,,,,,,
O14730,RIOK3,0.4807 ,0.0073 ,0.0394 ,,,,,,,,,,,,,,,,,,,0.6060 ,0.0063 ,0.0367 
O14732,IMPA2,,,,,,,1.0591 ,0.0000 ,0.0000 ,0.6068 ,0.0000 ,0.0000 ,-0.8683 ,0.0004 ,0.0041 ,,,,,,,,,
O14735,CDIPT,,,,0.3687 ,0.0101 ,0.0426 ,,,,,,,,,,,,,,,,0.7844 ,0.0004 ,0.0069 
O14744,PRMT5,,,,-0.3875 ,0.0034 ,0.0199 ,,,,,,,,,,,,,,,,,,
O14745,SLC9A3R1,,,,-0.6729 ,0.0002 ,0.0022 ,,,,,,,,,,,,,,,,,,
O14756,HSD17B6,,,,0.8382 ,0.0008 ,0.0071 ,,,,,,,,,,,,,,,,,,
O14772,FPGT,-0.3204 ,0.0063 ,0.0355 ,,,,,,,,,,-0.4394 ,0.0094 ,0.0432 ,,,,,,,,,
O14773,TPP1,,,,,,,,,,0.4254 ,0.0000 ,0.0000 ,-0.5581 ,0.0008 ,0.0065 ,,,,,,,0.4755 ,0.0024 ,0.0201 
O14776,TCERG1,,,,,,,,,,,,,,,,,,,,,,0.4800 ,0.0000 ,0.0018 
O14786,NRP1,,,,0.4396 ,0.0001 ,0.0020 ,,,,,,,0.4159 ,0.0000 ,0.0002 ,,,,,,,,,
O14787,TNPO2,-0.4821 ,0.0091 ,0.0455 ,,,,,,,,,,,,,,,,,,,,,
O14791,APOL1,,,,,,,,,,,,,,,,-0.8891 ,0.0025 ,0.0413 ,,,,-1.6803 ,0.0001 ,0.0038 
O14792,HS3ST1,,,,,,,,,,,,,0.8978 ,0.0059 ,0.0305 ,,,,,,,,,
O14818,PSMA7,,,,-0.5110 ,0.0000 ,0.0001 ,,,,,,,,,,,,,,,,,,
O14828,SCAMP3,,,,0.4053 ,0.0003 ,0.0036 ,0.3503 ,0.0005 ,0.0039 ,,,,0.4381 ,0.0000 ,0.0000 ,0.4438 ,0.0014 ,0.0299 ,,,,0.4103 ,0.0003 ,0.0057 
O14832,PHYH,0.4872 ,0.0000 ,0.0003 ,,,,-0.9364 ,0.0105 ,0.0404 ,,,,-0.5243 ,0.0050 ,0.0272 ,,,,,,,0.5626 ,0.0010 ,0.0118 
O14841,OPLAH,,,,,,,-0.6457 ,0.0001 ,0.0013 ,,,,-0.3336 ,0.0001 ,0.0019 ,,,,,,,,,
O14867,BACH1,,,,,,,0.2938 ,0.0135 ,0.0490 ,,,,0.3907 ,0.0006 ,0.0055 ,,,,,,,,,
O14874,BCKDK,,,,,,,,,,,,,,,,,,,,,,0.6132 ,0.0005 ,0.0079 
O14880,MGST3,0.6560 ,0.0012 ,0.0111 ,1.1210 ,0.0000 ,0.0007 ,0.7093 ,0.0012 ,0.0077 ,,,,,,,0.7705 ,0.0010 ,0.0259 ,,,,0.7886 ,0.0029 ,0.0225 
O14893,GEMIN2,0.5014 ,0.0002 ,0.0028 ,,,,,,,,,,,,,,,,,,,,,
O14908,GIPC1,,,,,,,0.3811 ,0.0003 ,0.0023 ,,,,,,,,,,,,,,,
O14910,LIN7A,,,,,,,0.3998 ,0.0005 ,0.0039 ,,,,,,,,,,,,,0.3276 ,0.0084 ,0.0445 
O14917,PCDH17,,,,0.4462 ,0.0038 ,0.0212 ,,,,,,,,,,,,,,,,,,
O14920,IKBKB,,,,,,,0.2634 ,0.0003 ,0.0029 ,,,,,,,,,,,,,0.3602 ,0.0036 ,0.0261 
O14929,HAT1,,,,,,,0.7263 ,0.0000 ,0.0006 ,,,,,,,,,,,,,0.5038 ,0.0022 ,0.0193 
O14933,UBE2L6,,,,-0.3238 ,0.0083 ,0.0372 ,,,,,,,,,,,,,,,,,,
O14936,CASK,,,,,,,0.2671 ,0.0009 ,0.0059 ,,,,,,,,,,,,,,,
O14939,PLD2,,,,,,,,,,,,,0.4940 ,0.0000 ,0.0001 ,,,,,,,,,
O14950,MYL12B,,,,0.4108 ,0.0003 ,0.0034 ,,,,,,,,,,,,,,,,,,
O14966,RAB29,,,,,,,,,,,,,-0.4655 ,0.0026 ,0.0161 ,,,,,,,,,
O14967,CLGN,,,,,,,,,,0.3378 ,0.0000 ,0.0006 ,,,,,,,,,,,,
O14972,VPS26C,-0.4219 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,
O14975,SLC27A2,,,,,,,,,,0.6404 ,0.0105 ,0.0418 ,-0.5671 ,0.0001 ,0.0011 ,,,,,,,,,
O14976,GAK,,,,,,,,,,,,,,,,0.3537 ,0.0008 ,0.0235 ,,,,0.3870 ,0.0001 ,0.0038 
O14979,HNRNPDL,0.4946 ,0.0005 ,0.0054 ,,,,0.3552 ,0.0093 ,0.0366 ,0.4665 ,0.0009 ,0.0066 ,,,,,,,,,,,,
O15018,PDZD2,,,,,,,,,,,,,-0.7175 ,0.0014 ,0.0101 ,,,,,,,,,
O15027,SEC16A,0.2783 ,0.0042 ,0.0267 ,,,,0.3478 ,0.0000 ,0.0006 ,,,,,,,,,,,,,,,
O15031,PLXNB2,,,,,,,,,,,,,,,,,,,,,,0.4009 ,0.0000 ,0.0011 
O15050,TRANK1,,,,-0.6669 ,0.0000 ,0.0005 ,,,,,,,,,,,,,,,,,,
